N,depth,M_star,eta,epsilon
16,1,1785,0.001,0.1
16,2,1933,0.001,0.1
16,5,2158,0.001,0.1
16,10,2356,0.001,0.1
16,20,2582,0.001,0.1
16,50,2934,0.001,0.1
16,100,3250,0.001,0.1
64,1,7345,0.001,0.1
64,2,8127,0.001,0.1
64,5,9370,0.001,0.1
64,10,10509,0.001,0.1
64,20,11869,0.001,0.1
64,50,14114,0.001,0.1
64,100,16264,0.001,0.1
256,1,32043,0.001,0.1
256,2,38051,0.001,0.1
256,5,48980,0.001,0.1
256,10,60711,0.001,0.1
256,20,77222,0.001,0.1
256,50,111814,0.001,0.1
256,100,156153,0.001,0.1
