eta,trial,tvd,N,M
0.0,0,0.0180997351331904,64,2000
0.001,0,0.01809973513319041,64,2000
0.003,0,0.018099735133190444,64,2000
0.01,0,0.018099735133190405,64,2000
0.03,0,0.018099735133190468,64,2000
0.05,0,0.018099735133190492,64,2000
0.1,0,0.018099735133190353,64,2000
0.0,1,0.024371637922413918,64,2000
0.001,1,0.024371637922413834,64,2000
0.003,1,0.024371637922413918,64,2000
0.01,1,0.02437163792241389,64,2000
0.03,1,0.024371637922413886,64,2000
0.05,1,0.02437163792241391,64,2000
0.1,1,0.02437163792241394,64,2000
0.0,2,0.0011613330494477285,64,2000
0.001,2,0.0011613330494477559,64,2000
0.003,2,0.0011613330494477064,64,2000
0.01,2,0.0011613330494476886,64,2000
0.03,2,0.0011613330494476548,64,2000
0.05,2,0.001161333049447646,64,2000
0.1,2,0.0011613330494477767,64,2000
