n_bits,N,M,trial,tvd
4,16,50,0,0.06881612194971622
4,16,100,0,0.1400208844867876
4,16,200,0,0.09930292460983767
4,16,500,0,0.04516803493536759
4,16,1000,0,0.023278953549119883
4,16,2000,0,0.011791000371472774
4,16,5000,0,0.00474986200047684
4,16,50,1,0.1919833180504249
4,16,100,1,0.03420467966235665
4,16,200,1,0.012273156695326151
4,16,500,1,0.012974359994954165
4,16,1000,1,0.00781761429437886
4,16,2000,1,0.004234553602064492
4,16,5000,1,0.0017708388654525085
4,16,50,2,0.19198331805042482
4,16,100,2,0.03420467966235667
4,16,200,2,0.012273156695326203
4,16,500,2,0.01297435999495411
4,16,1000,2,0.007817614294378819
4,16,2000,2,0.004234553602064542
4,16,5000,2,0.0017708388654524756
5,32,50,0,0.5552336142492574
5,32,100,0,0.36101226043821044
5,32,200,0,0.17866698758480734
5,32,500,0,0.056431279693059846
5,32,1000,0,0.023910055362945347
5,32,2000,0,0.010725454004093537
5,32,5000,0,0.00397849461357915
5,32,50,1,0.4750104400890538
5,32,100,1,0.2509656572125134
5,32,200,1,0.07881417349232096
5,32,500,1,0.003978625976572202
5,32,1000,1,0.0037152674865765438
5,32,2000,1,0.0033147630938988254
5,32,5000,1,0.0016743136065756213
5,32,50,2,0.5663519104077135
5,32,100,2,0.3835820167634062
5,32,200,2,0.20334232583857087
5,32,500,2,0.07126106848706878
5,32,1000,2,0.03211478507879911
5,32,2000,2,0.015001061298294451
5,32,5000,2,0.005726011213478868
6,64,50,0,0.6933397578594234
6,64,100,0,0.47890793790284214
6,64,200,0,0.25522188978399285
6,64,500,0,0.049373065493847394
6,64,1000,0,0.004400191877850153
6,64,2000,0,0.0036799885441790394
6,64,5000,0,0.0029158667244519668
6,64,50,1,0.7132408445498545
6,64,100,1,0.5132255284820195
6,64,200,1,0.29877819689784435
6,64,500,1,0.08219820342538223
6,64,1000,1,0.02312006634568091
6,64,2000,1,0.005972577710774659
6,64,5000,1,0.0009647615763223273
6,64,50,2,0.7132408445498544
6,64,100,2,0.5132255284820194
6,64,200,2,0.2987781968978444
6,64,500,2,0.08219820342538223
6,64,1000,2,0.023120066345680926
6,64,2000,2,0.005972577710774622
6,64,5000,2,0.0009647615763223735
