method,trial,lo,mid,hi,tvd,accepted
cold,0,10,1005,2000,0.06333113435281022,1
cold,0,10,507,1005,0.10641784272165253,0
cold,0,507,756,1005,0.07958520088879714,1
cold,0,507,631,756,0.09120678645580797,1
cold,0,507,569,631,0.09825896567933634,1
cold,0,507,538,569,0.10218564166411971,0
cold,0,538,553,569,0.1002494035550772,0
cold,0,553,561,569,0.09924476480335696,1
cold,0,553,557,561,0.09974469817973525,1
cold,0,553,555,557,0.0999964504338897,1
cold,0,553,554,555,0.10012277639105484,0
warm,0,10,1005,2000,0.0,1
warm,0,10,507,1005,0.0,1
warm,0,10,258,507,0.0,1
warm,0,10,134,258,0.0,1
warm,0,10,72,134,0.0,1
warm,0,10,41,72,0.140625,0
warm,0,41,56,72,0.14062499999999997,0
warm,0,56,64,72,0.0,1
warm,0,56,60,64,0.0,1
warm,0,56,58,60,0.1279296875,0
warm,0,58,59,60,0.0,1
cold,1,10,1005,2000,0.08835864662958669,1
cold,1,10,507,1005,0.15162543174395066,0
cold,1,507,756,1005,0.1119368163930398,0
cold,1,756,880,1005,0.09884167473246151,1
cold,1,756,818,880,0.10499420895707154,0
cold,1,818,849,880,0.10182758709482576,0
cold,1,849,864,880,0.10036116629478653,0
cold,1,864,872,880,0.09959577352788354,1
cold,1,864,868,872,0.09997704283045286,1
cold,1,864,866,868,0.10016874585211594,0
cold,1,866,867,868,0.10007280490725322,0
warm,1,10,1005,2000,0.0,1
warm,1,10,507,1005,0.0,1
warm,1,10,258,507,0.0,1
warm,1,10,134,258,0.0,1
warm,1,10,72,134,0.0,1
warm,1,10,41,72,0.14160156249999994,0
warm,1,41,56,72,0.0,1
warm,1,41,48,56,0.0,1
warm,1,41,44,48,0.14550781249999992,0
warm,1,44,46,48,0.17578124999999992,0
warm,1,46,47,48,0.20703124999999986,0
cold,2,10,1005,2000,0.07271521083297103,1
cold,2,10,507,1005,0.12301239258849463,0
cold,2,507,756,1005,0.09161530140653047,1
cold,2,507,631,756,0.10518451928906365,0
cold,2,631,693,756,0.09800405221660985,1
cold,2,631,662,693,0.10147269022858096,0
cold,2,662,677,693,0.09976537588368271,1
cold,2,662,669,677,0.10066902331231871,0
cold,2,669,673,677,0.10021524471949173,0
cold,2,673,675,677,0.09998982458885086,1
cold,2,673,674,675,0.10010241285192473,0
warm,2,10,1005,2000,0.0,1
warm,2,10,507,1005,0.0,1
warm,2,10,258,507,0.0,1
warm,2,10,134,258,0.0,1
warm,2,10,72,134,0.0,1
warm,2,10,41,72,0.15234374999999997,0
warm,2,41,56,72,0.13378906249999997,0
warm,2,56,64,72,0.0,1
warm,2,56,60,64,0.13378906249999994,0
warm,2,60,62,64,0.13378906249999994,0
warm,2,62,63,64,0.0,1
